Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;Ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Vorderingstaten 2016 tot nu;Nog te innen;Verschil 2016 - (2015);Verschil % 2016-2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
3.3.1.9;Herinrichten van de bovenparking van de Borre;0119-00;Overige algemene diensten;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 50.000,00 ; € -   ; € -   ; € 50.000,00 ;0;-;;;;;
3.3.4.1;Aanleggen en verbeteren van rioleringen;0200-00;Wegen;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;Beheer van regen- en afvalwater;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 517.855,03 ; € 350.000,00 ; € -   ; € 517.855,03 ;-350000;-100,00 %;;;;;
3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;Erosiebestrijding;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 191.878,20 ; € -   ; € -   ; € 191.878,20 ;0;-;;;;;
3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;Erosiebestrijding;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 6.375,00 ; € -   ; € -   ; € 6.375,00 ;0;-;;;;;
3.3.4.5;Bouwen en onderhouden van installaties voor individuele afvalwaterzuivering;0310-00;Beheer van regen- en afvalwater;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
3.4.2.5;Ontvangen van een sectorale subsidie inzake gemeentelijke ontwikkelingssamenwerking;0160-00;Hulp aan het buitenland;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € -   ; € 43.200,00 ; € -   ; € -   ;-43200;-100,00 %;;;;;
3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;O;7000003;Verkoop van schroot/oud ijzer;IE-GEEN; € 8.000,00 ; € 5.906,21 ; € 3.686,20 ; € 4.313,80 ;-2220,01;-37,59 %;;;;;
3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;O;7000099;Opbrengsten uit andere verkopen;IE-GEEN; € 5.500,00 ; € 9.201,61 ; € 4.275,75 ; € 1.224,25 ;-4925,86;-53,53 %;;;;;
3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € -   ; € -   ; € 2.071,03 ; € -2.071,03 ;2071,03;-;; € 5.000,00 ; € 5.000,00 ;recupel van GBB 0300-00;idem
3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;O;7020999;Opbrengsten uit andere prestaties;IE-GEEN; € 2.025,00 ; € 1.451,27 ; € -   ; € 2.025,00 ;-1451,27;-100,00 %;;;;;
3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 9.284,46 ; € 6.068,92 ; € 3.250,00 ; € 6.034,46 ;-2818,92;-46,45 %;; € 3.250,00 ; € 12.534,46 ;Subsidie ondernemend Bierbeek Online;3250 in 2018
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 2.000,00 ; € 1.957,64 ; € 1.087,82 ; € 912,18 ;-869,82;-44,43 %;;;;;
4.1.1.4;Organiseren van sportpromotionele evenementen;0740-00;Sport;O;7005002;Opbrengsten uit bar/cafetaria;IE-GEEN; € 270,00 ; € 236,60 ; € -   ; € 270,00 ;-236,6;-100,00 %;;;;;
4.1.1.4;Organiseren van sportpromotionele evenementen;0740-00;Sport;O;7010002;Inschrijvingsgelden;IE-GEEN; € 30,00 ; € 70,00 ; € -   ; € 30,00 ;-70;-100,00 %;;;;;
4.3.2.1;Stimuleren en ondersteunen van erfgoedparticipatie;0729-00;Overig beleid inzake het erfgoed;O;7005002;Opbrengsten uit bar/cafetaria;IE-GEEN; € -   ; € 163,60 ; € -   ; € -   ;-163,6;-100,00 %;;;;;
4.3.2.1;Stimuleren en ondersteunen van erfgoedparticipatie;0729-00;Overig beleid inzake het erfgoed;O;7010003;Toegangsgelden;IE-GEEN; € -   ; € 252,74 ; € -   ; € -   ;-252,74;-100,00 %;;;;;
4.3.2.1;Stimuleren en ondersteunen van erfgoedparticipatie;0729-00;Overig beleid inzake het erfgoed;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 2.900,00 ; € 5.800,00 ; € -   ; € 2.900,00 ;-5800;-100,00 %;; € -2.900,00 ; € -   ;Subsidie reeds ontvangen in 2015;idem
4.3.3.1;Restaureren en renoveren van de pastorie van Bierbeek;0720-03;Patrimonium kerkfabriek Sint Hilarius;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 16.000,00 ; € -   ; € -   ; € 16.000,00 ;0;-;;;;;
4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;Patrimonium kerkfabriek Sint Hilarius;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
4.3.3.3;Onderzoeken van de restauratie en renovatie van de pastorie van Opvelp;0720-01;Patrimonium kerkfabriek Sint Antonius;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
5.1.3.3;Voorzien van extra sanitair in de schoolgebouwen;0800-02;Lager onderwijs;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-02;Lager onderwijs;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6; € 28.097,93 ; € 461.902,07 ; € -   ; € 28.097,93 ;-461902,07;-100,00 %;;;;;
5.2.1.2;Organiseren van schoolsport en naschoolse sportactiviteiten;0889-00;Overige ondersteunende diensten voor het lokaal flankerend onderwijs;O;7040003;Tussenkomsten van ouders in het toezicht en de bijlessen;IE-GEEN; € -   ; € -   ; € 500,00 ; € -500,00 ;500;-;; € 500,00 ; € 500,00 ;bijdragen ouders naschoolse sport;idem
GBB-CBS;Gelijkblijvend beleid CBS;0010-00;Algemene overdrachten tussen de verschillende bestuurlijke niveaus;O;7400000;Gemeentefonds;IE-GEEN; € 1.333.276,00 ; € 1.302.343,20 ; € 1.301.758,29 ; € 31.517,71 ;-584,91;-0,04 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0010-00;Algemene overdrachten tussen de verschillende bestuurlijke niveaus;O;7404999;Overige algemene werkingssubsidies;IE-GEEN; € 426.376,20 ; € 117.207,67 ; € 117.207,67 ; € 309.168,53 ;0;0,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0010-00;Algemene overdrachten tussen de verschillende bestuurlijke niveaus;O;7405001;Bijdrage gesubsidieerde contractuelen;IE-GEEN; € 357.129,98 ; € 326.474,29 ; € -   ; € 357.129,98 ;-326474,29;-100,00 %;; € -357.129,98 ; € -   ;Wijziging AR : 7404999 ipv 7405001;idem
GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;O;7300000;Opcentiemen op de onroerende voorheffing;IE-GEEN; € 2.535.426,14 ; € 2.620.132,39 ; € 2.579.218,91 ; € -43.792,77 ;-40913,48;-1,56 %;; € 44.000,00 ; € 2.579.426,14 ;OV;
