Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/Uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;Verantwoordelijke/dienst;2014;2015;2016;2017;2018;2019;;totaal per project;;Opmerkingen Liesbeth;;;;;;;;;;
BP2014_2019-2T/3.2.1.5/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;U;2240007;Wegen - Activa in aanbouw;IE3;uitvoering fietspaden Opvelpse- en Neervelpsestraat;Jan;;;;Û 592 868,54;Û 650 142,68;Û 515 510,00;;1 758 521,22;;;;;;Neervelpsestraat:;; Û 650 142,68 ; Û -   ;520114,144;;520114,144
BP2014_2019-2T/3.2.1.7/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;U;2140007;Plannen en studies - Activa in aanbouw;IE3;studiekosten wegenwerken;Jan;Û 0,00;Û 17 000,00;Û 29 000,00;Û 0,00;;Û 0,00;;46 000,00;;sk Herpendalstraat 75k in 2017;;;;Opvelpsestraat:;; Û 592 868,54 ; Û -   ;474294,832;;474294,832
BP2014_2019-2T/3.2.1.7/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;U;2240007;Wegen - Activa in aanbouw;IE3;Heraanleg diverse wegen;Jan;Û 48 539,56;Û 402 390,81;Û 198 487,30;Û 38 000,00;;Û 0,00;;687 417,67;;;;;;;;;;;;
BP2014_2019-2T/3.2.1.10/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.10;Inventariseren, opmaken en uitvoeren van een onderhoudsplan voor wegen en paden;0200-00;U;2240007;Wegen - Activa in aanbouw;IE3;Onderhoud wegen;Jan;Û 42 730,57;Û 117 269,43;Û 130 000,00;Û 130 000,00;Û 130 000,00;Û 130 000,00;;680 000,00;;;;;;;;;;;;Û 0,00
BP2014_2019-2T/3.2.2.2/0210-00/2250000/BESTUUR/CBS/IE3/U;3.2.2.2;Promoten van het openbaar vervoer;0210-00;U;2250000;Overige infrastructuur betreffende de wegen;IE3;Schuilhuisjes;Jan;Û 0,00;Û 0,00;Û 7 500,00;Û 5 000,00;Û 5 000,00;;;17 500,00;;;;;;Û 412 408,00;;;;;;
BP2014_2019-2T/3.2.3.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.3.1;Herinrichten van de Panoramalaan;0200-00;U;2240007;Wegen - Activa in aanbouw;IE3;Heraanleg Panoramalaan;Jan;;;Û 200 000,00;;;;;200 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.2.4.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.4.1;Herinrichten van de Pastoriestraat;0200-00;U;2240007;Wegen - Activa in aanbouw;IE3;pastoriestraat voetpaden;Jan;;Û 40 000,00;;;;;;40 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.2.4.3/0200-00/2250000/BESTUUR/CBS/IE3/U;3.2.4.3;Voeren van meetcampagnes;0200-00;U;2250000;Overige infrastructuur betreffende de wegen;IE3;Snelheidsinformatieborden;Vicky;Û 0,00;Û 0,00;;Û 2 250,00;;Û 2 250,00;;4 500,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.1/0200-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.1;Uitvoeren van verbeteringswerken in de dorpskern van Lovenjoel;0200-00;U;2240007;Wegen - Activa in aanbouw;IE6;voetpad Stationsstraat, Keizerstraat en dorpskern Lovenjoel;Jan;;Û 62 000,00;Û 235 000,00;;;;;297 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.3.1.3/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.3;Opmaken en uitvoeren van RUP Sint-Kamillus;0610-00;U;2140000;Plannen en studies;IE6;RUP st Camillus;Ludo;Û 0,00;Û 0,00;Û 15 000,00;;;;;15 000,00;;;;;;;;;;;;
