Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/Uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;Verantwoordelijke/dienst;2014;2015;2016;2017;2018;2019;;totaal per project;;Opmerkingen Liesbeth;;;;;;;;;;
BP2014_2019-2T/4.3.3.1/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.1;Restaureren en renoveren van de pastorie van Bierbeek;0720-03;U;2140000;Plannen en studies;IE6;studiekosten pastorie Bierbeek;Bruno;Û 0,47;Û 38 999,53;Û 6 000,00;;;;;45 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.2/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;U;2140000;Plannen en studies;IE6;Plannen en studies;Bruno;Û 16 118,30;Û 0,00;Û 0,00;Û 3 839,00;Û 23 034,00;Û 3 839,00;;46 830,30;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.2/0720-03/2210700/BESTUUR/CBS/IE6/U;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;U;2210700;Gebouwen - erediensten - gemeenschapsgoederen;IE6;restauratie Sint-hilariuskerk dak;Bruno;;;;Û 0,00;Û 698 021,00;;;698 021,00;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.3/0720-01/2140000/BESTUUR/CBS/IE6/U;4.3.3.3;Onderzoeken van de restauratie en renovatie van de pastorie van Opvelp;0720-01;U;2140000;Plannen en studies;IE6;studiekosten Restauratie Pastorie Opvelp;Bruno;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.4/0720-01/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-01;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Gerda;Û 2 377,65;Û 20 000,00;Û 10 000,00;Û 10 000,00;Û 20 000,00;Û 0,00;;62 377,65;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.4/0720-02/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-02;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Gerda;Û 0,00;Û 45 278,62;Û 90 557,24;Û 58 094,62;Û 6 875,00;Û 20 845,00;;221 650,48;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.4/0720-03/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-03;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Gerda;Û 5 000,00;Û 15 000,00;Û 10 000,00;Û 10 000,00;Û 10 000,00;Û 10 000,00;;60 000,00;;;;;;;;;;;;
BP2014_2019-2T/4.3.3.4/0720-04/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-04;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Gerda;Û 4 000,43;Û 55 514,84;;Û 3 500,00;;;;63 015,27;;;;;;;;;;;;
BP2014_2019-2T/5.1.1.3/0800-02/2410000/BESTUUR/CBS/IE6/U;5.1.1.3;Stapsgewijs uitbreiden van het aanbod aan smartboards in de klassen;0800-02;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;smartboards school;Kristof/Rudy;Û 0,00;Û 11 699,51;;;;;;11 699,51;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.2/0800-01/2140007/BESTUUR/CBS/IE6/U;5.1.3.2;Inrichten van een mogelijke alternatieve locatie voor de kleutervestiging Centrum;0800-01;U;2140007;Plannen en studies - Activa in aanbouw;IE6;Plannen en studies - Activa in aanbouw;Bruno;;Û 0,00;Û 13 200,00;Û 19 800,00;Û 10 531,00;;;43 531,00;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.2/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.2;Inrichten van een mogelijke alternatieve locatie voor de kleutervestiging Centrum;0800-01;U;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;Kleuterklas bierbeek centrum;Bruno;Û 0,00;; Û -   ;Û 333 000,00;Û 102 313,00;;;435 313,00;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.3/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.3;Voorzien van extra sanitair in de schoolgebouwen;0800-02;U;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;Extra sanitair;Bruno;Û 0,00;;Û 15 000,00;;;;;15 000,00;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.4/0800-00/2140000/BESTUUR/CBS/IE6/U;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-00;U;2140000;Plannen en studies;IE6;studiekosten vernieuwen daken & stookplaats GSB;Bruno;Û 0,00;Û 0,00;;;;Û 0,00;;0,00;;?????? Vallen studiekosten dan weg - nog checken Bruno - neen, maar worden wel pas gefactureerd bij de werken;;;;;;;;;;
BP2014_2019-2T/5.1.3.4/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-01;U;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;vernieuwing buitenschrijnwerk centrale school + KS Opvelp;Bruno;Û 19 053,08;Û 0,00;;;;;;19 053,08;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.4/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-02;U;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;vernieuwing buitenschrijnwerk centrale school + KS Opvelp;Bruno;Û 13 931,96;Û 0,00;;;;Û 80 000,00;;93 931,96;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.5/0800-02/2400000/BESTUUR/CBS/IE6/U;5.1.3.5;Herinrichten en/of uitbreiden en onderhouden van de speelterreinen;0800-02;U;2400000;Meubilair - gemeenschapsgoederen;IE6;aankoop van speeltoestellen (school);Rudy/Kelly;;;Û 7 500,00;;Û 7 500,00;;;15 000,00;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.6/0800-01/2400000/BESTUUR/CBS/IE6/U;5.1.3.6;Vervangen van het klas- en reftermeubilair (kleutervestiging Lovenjoel, refter hoofdschool);0800-01;U;2400000;Meubilair - gemeenschapsgoederen;IE6;Meubilair - gemeenschapsgoederen;Rudy;Û 0,00;;Û 3 250,00;;;;;3 250,00;;;;;;;;;;;;
BP2014_2019-2T/5.1.3.6/0800-02/2400000/BESTUUR/CBS/IE6/U;5.1.3.6;Vervangen van het klas- en reftermeubilair (kleutervestiging Lovenjoel, refter hoofdschool);0800-02;U;2400000;Meubilair - gemeenschapsgoederen;IE6;Meubilair - gemeenschapsgoederen;Rudy;Û 0,00;;Û 21 800,00;;;;;21 800,00;;;;;;;;;;;;
BP2014_2019-2T/6.1.1.1/0410-00/6640000/BESTUUR/CBS/IE6/U;6.1.1.1;Voorzien van een bijdrage voor de brandweerzone;0410-00;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Johan;;Û 64 719,32;Û 68 823,07;Û 68 823,07;Û 68 823,07;Û 68 823,07;;340 011,60;;;;;;;;;;;;
BP2014_2019-2T/6.1.2.4/0490-00/2410000/BESTUUR/CBS/IE6/U;6.1.2.4;Voorbereiden van verschillende locaties als mogelijk crisiscentrum;0490-00;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;uitwerking en implementatie DRP tss OCMW en GH;Bruno/Kristof;Û 0,00;;Û 40 900,00;;;;;40 900,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0050-00/2610000/BESTUUR/CBS/IE7/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;U;2610000;Gebouwen - overige MVA;IE7;Gebouwen - overige MVA;Bruno;;Û 0,00;Û 22 000,00;;;;;22 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0119-00/2210500/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE6;Gebouwen - culturele gebouwen - gemeenschapsgoederen;;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0119-00/2210800/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2210800;Gebouwen - andere gebouwen - gemeenschapsgoederen;IE6;plaatsen verwarming stockagelokalen loods;Bruno;Û 484,00;Û 2 016,00;;;;;;2 500,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0119-00/2210807/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2210807;Gebouwen - andere gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE6;verbouwingswerken;Bruno;Û 0,00;Û 0,00;Û 176 852,30;;;;;176 852,30;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0119-00/2291000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2291000;Gebouwen - bedrijfsmatige MVA;IE6;Gebouwen - bedrijfsmatige MVA;Bruno;Û 0,00;Û 9 000,00;;;;;;9 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0119-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;kleine investeringen in meubilair en uitrusting;;Û 384,78;Û 7 000,00;Û 5 000,00;Û 5 000,00;Û 5 000,00;Û 5 000,00;;27 384,78;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0119-00/2430000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2430000;Rollend materieel - gemeenschapsgoederen;IE6;vervanging auto JIP-072 (2000);Lies;;;Û 24 000,00;;;;;24 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0130-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;aankoop digitalisering akten burgerlijke stand;Godelieve;Û 0,00;Û 0,00;Û 17 900,00;;;;;17 900,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;Overdracht krediet van 2014 naar 2015;Jan;Û 65 730,59;Û 374 350,16;;;;;;440 080,75;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2210100/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2210100;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;IE6;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;;;Û 6 710,00;Û 26 000,00;;;;;32 710,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2240007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2240007;Wegen - Activa in aanbouw;IE6;aanleg fietspaden Lovenjoelsestr. & Waversesteenweg + voetpad Bergenlaan;Jan;Û 565 194,43;Û 31 781,73;;;;;;596 976,16;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2250000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2250000;Overige infrastructuur betreffende de wegen;IE6;Aankoop straatmeubilair;Lies/Vicky;Û 1 377,19;Û 28 000,00;Û 2 500,00;Û 2 500,00;Û 2 500,00;Û 2 500,00;;39 377,19;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;vervanging zelftrekkende grasmaaier;Lies;Û 1 789,59;Û 9 110,41;Û 67 500,00;Û 2 000,00;Û 1 500,00;Û 1 500,00;;83 400,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;Meubilair - gemeenschapsgoederen;Lies;Û 769,56;Û 30,44;;;;;;800,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0200-00/2430000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;U;2430000;Rollend materieel - gemeenschapsgoederen;IE6;Rollend materieel - gemeenschapsgoederen;Lies;Û 0,00;Û 247 500,00;Û 125 000,00;;;Û 30 000,00;;402 500,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0210-00/2250000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0210-00;U;2250000;Overige infrastructuur betreffende de wegen;IE6;Halteacc. Waversestw;Vicky/Jan;Û 0,00;Û 0,00;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0309-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;Lies;;Û 2 538,58;;;;;;2 538,58;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0310-00/2100007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;U;2100007;Kosten van onderzoek en ontwikkeling - Activa in aanbouw;IE6;opmaak databank;Jan;Û 27 538,80;;;;;;;27 538,80;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0310-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;erelonen Dorpsstraat, É.;Jan;Û 8 470,35;Û 12 000,00;Û 6 000,00;;;;;26 470,35;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0310-00/2280007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;U;2280007;Riolering - Activa in aanbouw;IE6;Levering & plaatsen IBA's;Jan;Û 17 515,89;;;;;;;17 515,89;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0341-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0341-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;Overdracht krediet van 2014 naar 2015;Jan;Û 16 303,00;Û 22 161,00;;;;;;38 464,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0530-00/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0530-00;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies - landbouwleerpad;;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0610-00/2200100/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0610-00;U;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE6;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;Bruno;;Û 0,00;Û 140 000,00;;;;;140 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0701-00/2201000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;U;2201000;Terreinen van gebouwen - gemeenschapsgoederen;IE6;Terreinen van gebouwen - gemeenschapsgoederen;Bruno;;Û 0,00;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0701-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;vervangen tafels polyzaal De Borre;Dieter;;;;;;Û 9 000,00;;9 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0701-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;vervanging server De Borre;Kristof;Û 4 126,12;Û 28 873,88;;;;;;33 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0703-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0703-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;mat.presentatie BIB/bureaustoelen;Stephan;Û 5 100,21;Û 601,81;Û 600,00;;;;;6 302,02;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0703-00/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0703-00;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Informaticamaterieel - Tablet BIB;Stephan;Û 369,00;Û 1 500,00;;;;;;1 869,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0709-00/2210500/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0709-00;U;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE6;vervangen deur dienstinkom Borrestaminee;Bruno;Û 807,07;Û 0,00;;;;;;807,07;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0709-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0709-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Overdracht krediet van 2014 naar 2015;?;Û 0,00;Û 8 000,00;;;;;;8 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0720-00/2140000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0720-00;U;2140000;Plannen en studies;IE6;studieopdr. pastorie;Bruno;Û 0,00;Û 22 990,00;Û 7 986,00;;;;;30 976,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0720-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0720-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;aanstelling;;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0720-00/2210700/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0720-00;U;2210700;Gebouwen - erediensten - gemeenschapsgoederen;IE6;Vernieuwb.St-Ermelindis;;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0720-01/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0720-01;U;6640000;Toegestane investeringssubsidies;IE6;investeringstoel.'12;;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0729-00/2250000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;U;2250000;Overige infrastructuur betreffende de wegen;IE6;Erfgoedborden;;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0729-00/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0729-00;U;6640000;Toegestane investeringssubsidies;IE6;restauratiesubsidie Berkenhof;;Û 81 136,10;;;;;;;81 136,10;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0740-00/2200200/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;U;2200200;Onbebouwde terreinen -  niet bebouwde bouwgronden - gemeenschapsgoederen;IE6;grondverw.sporthal;Maarten;Û 0,00;Û 4 605,81;;;;;;4 605,81;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0740-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;aankoop lockers/vervangen judomatten;Maarten;Û 0,00;Û 4 000,00;;Û 8 000,00;;;;12 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0740-00/6640000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Maarten;;Û 2 558,12;;;;;;2 558,12;;;;;;;;;;;;
;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;U;2430000;Rollend materieel - gemeenschapsgoederen;;tractor onderhoud kunstgrasveld;Lies;;;Û 10 000,00;;;;;;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0790-00/2210500/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0790-00;U;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE6;investeringsfondsen;Dieter;Û 0,00;;;;;;;0,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0800-00/2140007/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-00;U;2140007;Plannen en studies - Activa in aanbouw;IE6;studiekosten;Bruno;Û 3 740,87;;;;;;;3 740,87;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0800-00/2400000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-00;U;2400000;Meubilair - gemeenschapsgoederen;IE6;Meubilair - gemeenschapsgoederen;Rudy;Û 384,78;Û 1 350,00;;;;;;1 734,78;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0800-02/2410000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0800-02;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;IT-materiaal school;Kristof;;Û 20 000,00;;;;;;20 000,00;;;;;;;;;;;;
BP2014_2019-2T/GBB-CBS/0990-00/2300000/BESTUUR/CBS/IE6/U;GBB-CBS;Gelijkblijvend beleid CBS;0990-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;aankoop urnenkelders, grafkelders, columbarium-nissen;Godelieve;Û 0,00;Û 7 937,90;;;Û 7 500,00;;;15 437,90;;;;;;;;;;;;
;GBB-CBS;Gelijkblijvend beleid CBS;0680-00;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;;Lies;;Û 900,00;;;;;;;;;;;;;;;;;;
;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;U;2210500;Gebouwen - culturele gebouwen - gemeenschapsgoederen;IE6;;;;Û 15 317,47; Û 120 000,00 ;;;;;;;;;;;;;;;;;
;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;U;2420000;Kantooruitrusting - gemeenschapsgoederen;IE6;tijdsregistratiesysteem;;;; Û 11 000,00 ;;;;;;;;;;;;;;;;;
;;;;;;;;Totaal per jaar;;2 406 235,86;6 491 685,90;4 590 099,96;4 013 800,65;4 555 724,51;1 329 747,07;;23 387 293,94;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;versus totalen huidig goedgekeurd MJP;; Û 2 406 235,86 ; Û 7 410 129,84 ; Û 3 017 900,59 ; Û 2 162 361,63 ; Û 4 114 704,36 ; Û 875 464,76 ;; Û 19 986 797,04 ;;;;;;;;;;;;
;;;;;;;;;verschil:; Û -   ; Û -918 443,94 ; Û 1 572 199,37 ; Û 1 851 439,02 ; Û 441 020,15 ; Û 454 282,31 ;; Û 3 400 496,90 ;;;;;;;;;;;;
;;;nog toe te voegen;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;bergruimte voor chiro hiperlie - 1500 euro voor zeecontainer;;;;; Û 1 500,00 ;;;;;;;;;;;;;;;;;;;;;
;;;sturing verwarming de borre koppelen aan die van GH - 20,000 euro;;;;; Û 20 000,00 ;;;;;;;;;;;;;;;;;;;;;
;;;aanpassingen de borre ingevolge legionella : 40,000 euro;;;;; Û 40 000,00 ;;;;;;;;;;;;;;;;;;;;;
;;;renovatie keuken de borre : 25,000 euro;;;;; Û 25 000,00 ;--> 10.000 euro mee te nemen in exploitatie;;;;;;;;;;;;;;;;;;;;
;;;vervanging ramen de borre : 80,000 euro;;;;; Û 80 000,00 ; Û 165 000,00 ;;;;;;;;;;;;;;;;;;;;
;;;herstelling betonrot dakgoot gemeenteloods;;;;; Û 26 000,00 ;;;;;;;;;;;;;;;;;;;;;
;;;investeringssubsidie Stichelke - buitenisolatie zaal D: 28,000 euro;;;;; Û 28 000,00 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;; Û 220 500,00 ;;;;;;;;;;;;;;;;;;;;;
;;;bijkomende vragen zonder raming: kleine tractor voor onderhoud kunstgrasveld;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;bijkomende vragen zonder raming: smartboards 3de leerjaar (8 kEUR);;;;;;DUS nog niet verwerkt in bovenstaande;;;;;;;;;;;;;;;;;;;;
;;;bijkomende vragen zonder raming: bijkomende banken en stoelen 1ste leerjaar;;;;;;DUS nog niet verwerkt in bovenstaande;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;tijdsregistratiesysteem;;;;;;;;;;;;;;;;;;;;;;;
