Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;totaal per project;;;
BP2014_2019-2T/3.3.4.3/0341-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn; 0,00; 6 375,00;; 79 050,00;;;;  85 425,00 ;;;

BP2014_2019-2T/4.3.3.1/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.1;Restaureren en renoveren van de pastorie van Bierbeek;0720-03;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;; 16 000,00;;;;;;  16 000,00 ;;;

BP2014_2019-2T/4.3.3.2/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;studiekosten en restauratie Sint Hilariuskerk; 0,00;;;; 445 035,00; 148 345,00;;  593 380,00 ;;;

BP2014_2019-2T/4.3.3.3/0720-01/1500000/BESTUUR/CBS/IE6/O;4.3.3.3;Onderzoeken van de restauratie en renovatie van de pastorie van Opvelp;0720-01;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;studiekosten en restauratie Pastorie Opvelp;;;;;; 0,00;;  -   ;;;

BP2014_2019-2T/5.1.3.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.3;Voorzien van extra sanitair in de schoolgebouwen;0800-02;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;sanitair school;;; 0,00;;;;;  -   ;;;

