Code;Actie;Actie oms.;BI;Ontvangst/uitgave;AR;Algemene rekening oms.;IE;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;totaal per lijn;;;;;
BP2014_2019-2T/GBB-CBS/0040-00/1749000/BESTUUR/CBS/700/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;O;1749000;Overige leningen;IE-GEEN;Overige leningen;2 600 000,00;3 600 000,00;1 640 000,00;1 400 000,00;1 700 000,00;0,00;;10 940 000,00;;;;;
BP2014_2019-2T/GBB-CBS/0040-00/4233000/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;U;4233000;Schulden aan kredietinstellingen aangegaan door het bestuur;IE-GEEN;Aflossing van leningen;1 204 947,54;1 406 507,79;1 122 701,10;1 148 660,90;1 148 274,54;1 118 424,58;;7 149 516,45;;;;;
BP2014_2019-2T/GBB-CBS/0740-00/4943000/BESTUUR/CBS/800/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;O;4943000;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;IE-GEEN;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;18 282,44;18 282,44;18 282,44;18 282,44;18 282,44;18 282,44;;109 694,64;;;;;
BP2014_2019-2T/GBB-CBS/0040-00/4240000/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;U;4240000;;IE-GEEN;Aflossing van leningen;;;185 054,25;185 317,13;185 588,55;185 868,74;;741 828,67;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;; 1 639 331,30; 1 672 531,31; 1 694 620,47; 1 635 657,39;;;;;;;
