Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;TOTAAL;;;;;;;;;;;;;
BP2014_2023-5./3.3.4.1/0310-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Groenstraat (incl. riolering) +  riolering Tiensestwg. & Lovenjoelsestraat;;350000;;23734.62;141179.87;285685.11;2529462.85;228750;373500;;;3932312.45;;1631524.6;;897938.25;;90000;283500;;;;;;
BP2014_2023-5./3.3.4.2/0341-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;0;173378.2;;;;;;173378.2;;;;;;;;;;;;;
BP2014_2023-5./3.3.4.3/0341-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;0;85425;;;;;;85425;;;;;;;;;;;;;
BP2014_2023-5./4.3.3.2/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;studiekosten en restauratie Sint Hilariuskerk;;;;;0;445816.06;;;;;;445816.06;;;;;;;;;;;;;
BP2014_2023-5./4.3.3.3/0720-01/1500000/BESTUUR/CBS/IE6/O;4.3.3.3;Onderzoeken van de restauratie en renovatie van de pastorie van Opvelp;0720-01;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;;0;;;;;;0;;;;;;;;;;;;;
BP2014_2023-5./5.1.3.2/0800-01/1500000/BESTUUR/CBS/IE6/O;5.1.3.2;Inrichten van een mogelijke alternatieve locatie voor de kleutervestiging Centrum;0800-01;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;;;;;296104.90000000002;;;296104.90000000002;;;;;;;;;;;;;
BP2014_2023-5./5.1.3.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.3;Voorzien van extra sanitair in de schoolgebouwen;0800-02;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;;;0;;;;;0;;;;;;;;;;;;;
BP2014_2023-5./5.1.3.4/0800-01/1500000/BESTUUR/CBS/IE6/O;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-01;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;;;;;0;140000;;140000;;;;;;;;;;;;;
BP2014_2023-5./5.1.3.4/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-02;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;461902.07;;2313.66;;;;;0;455000;;919215.73;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0050-00/1500000/BESTUUR/CBS/IE7/O;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE7;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;1999.46;;;;;;;;1999.46;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0200-00/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;47274.239999999998;;;;;;;;47274.239999999998;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0200-00/1800000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;1800000;Ontvangen vooruitbetalingen op investeringssubsidies;IE6;Ontvangen vooruitbetalingen op investeringssubsidies;;;;-47274.239999999998;;;;;;;;-47274.239999999998;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0610-00/2200300/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0610-00;2200300;Onbebouwde terreinen - industrieterreinen - gemeenschapsgoederen;IE6;Onbebouwde terreinen - industrieterreinen - gemeenschapsgoederen;;;;;0;250000;;;;;;250000;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-01/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0800-01;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;0;13360;;;;;;13360;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0800-02/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0800-02;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;0;4560;;;;;;4560;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;
BP2014_2023-5./3.2.1.1/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;;;;;;;;90000;;;;;90000;;;;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0620-00/2840000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0620-00;2840000;Andere aandelen - aanschaffingswaarde;IE6;;;;;;57400;;;;;;;57400;;;;;;;;;;;;;
;;;;;;;Totaal huidige aanpassing;;;;;417251.87;2990683.3800000004;4223235.5500000007;3292424.99;669604.9;595000;;;;;;;;;;;;;;;
;;;;;;;Totaal MJPA 4 - 2014-2022 (IB 2018);;;;;4010641.17;5737029.29;773500;400000;891104.9;0;;;;;;;;;;;;;;;
;;;;;;;Meerontvangsten per jaar tov vorig MJPA;;;;;-3593389.3;-2746345.9099999997;3449735.5500000007;2892424.99;-221500;595000;;;;;;;;;;;;;;;
