Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;totaal per project;;;;;;;;
BP2014_2023-5./3.2.1.5/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;2240007;Wegen - Activa in aanbouw;IE3;uitvoering fietspaden Opvelpse- en Neervelpsestraat;;;;168775.02;499056.005;824707.45;1669950.6600000001;;;;;3162489.1350000002;;;;;;;;
BP2014_2023-5./3.2.1.7/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;studiekosten wegenwerken;;;;8043.41;16956.589999999997;30000;;;;;;55000;;;;;;;;
BP2014_2023-5./3.2.1.7/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Heraanleg diverse wegen;42284.93;352871.72;272805.77;0;105906.54999999987;1606233.3539999998;771664.98400000005;200000;200000;200000;;3751767.3079999997;;Holleweg 2019 nog update te ontvangen;;;;;;
BP2014_2023-5./3.2.1.10/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.10;Inventariseren, opmaken en uitvoeren van een onderhoudsplan voor wegen en paden;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Onderhoud wegen;48985.2;96136.84;115507.44;308240.09000000003;72135.06;130000;130000;130000;130000;130000;;1291004.6300000001;;te bekijken met Jan;;;;;;
BP2014_2023-5./3.2.1.14/0290-00/2250000/BESTUUR/CBS/IE3/U;3.2.1.14;Optimaliseren van de schoolomgevingen;0290-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Overige infrastructuur betreffende de wegen;;;;5735.4;55250.42;;;;;;;60985.82;;;;;;;;
BP2014_2023-5./3.2.2.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.2.1;Opmaken en uitvoeren van een actieplan Trage Wegen;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Wegen - Activa in aanbouw;;;;;0;38000;;;;;;38000;;;;;;;;
BP2014_2023-5./3.2.2.2/0210-00/2250000/BESTUUR/CBS/IE3/U;3.2.2.2;Promoten van het openbaar vervoer;0210-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Schuilhuisjes;;;;5988.28;0;5000;5000;5000;5000;5000;;30988.28;;nog schuilhuisjes 2018 - checken Jan?;;;;;;
BP2014_2023-5./3.2.3.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.3.1;Herinrichten van de Panoramalaan;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Overdracht krediet van 2017 naar 2018;;;;335888.41;13388.299999999996;;;;;;;349276.70999999996;;;;;;;;
BP2014_2023-5./3.2.4.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.4.1;Herinrichten van de Pastoriestraat;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Wegen - Activa in aanbouw;;32776.239999999998;;51869.68;435.3;;;;;;;85081.22;;;;;;;;
BP2014_2023-5./3.2.4.3/0200-00/2250000/BESTUUR/CBS/IE3/U;3.2.4.3;Voeren van meetcampagnes;0200-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Overdracht krediet van 2017 naar 2018;;;;;6150;3750;;3750;;3750;;17400;;;;;;;;
BP2014_2023-5./3.3.1.1/0200-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.1;Uitvoeren van verbeteringswerken in de dorpskern van Lovenjoel;0200-00;2240007;Wegen - Activa in aanbouw;IE6;voetpad Keizerstraat en dorpskern Lovenjoel;;57103.43;60540.66;0;0;170000;400000;;;;;687644.09;;;;;;;;
BP2014_2023-5./3.3.1.3/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.3;Opmaken en uitvoeren van RUP Sint-Kamillus;0610-00;2140000;Plannen en studies;IE6;Overdracht krediet van 2017 naar 2018;;;;;19000;11000;;;;;;30000;;;;;;;;
BP2014_2023-5./3.3.1.4/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.4;Opmaken en uitvoeren van RUP voor zonevreemde gebouwen en constructies;0610-00;2140000;Plannen en studies;IE6;Overdracht krediet van 2017 naar 2018;;;;;18000;12000;;;;;;30000;;;;;;;;
BP2014_2023-5./3.3.1.5/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.5;Opmaken en uitvoeren van RUP kerkhoven/containerparken/scholen;0610-00;2140000;Plannen en studies;IE6;Overdracht krediet van 2017 naar 2018;;;;;0;;;;;;;0;;;;;;;;
BP2014_2023-5./3.3.1.6/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.6;Opmaken en uitvoeren van RUP voetbalterreinen Bierbeek/Lovenjoel;0610-00;2140000;Plannen en studies;IE6;Overdracht krediet van 2017 naar 2018;;;;;0;;;;;;;0;;;;;;;;
BP2014_2023-5./3.3.1.7/0530-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.7;Participeren in de ruilverkaveling Willebringen;0530-00;2240007;Wegen - Activa in aanbouw;IE6;Deelname Ruilverkaveling Willebringen;;51408;51408;85680;85680;85680;70000;70000;70000;70000;;639856;;tem 2024 70k per jaar;;;;;;
BP2014_2023-5./3.3.1.8/0680-00/2140007/BESTUUR/CBS/IE6/U;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;2140007;Plannen en studies - Activa in aanbouw;IE6;Plannen en studies - Activa in aanbouw;;;5611.98;;;;;;;;;5611.98;;;;;;;;
BP2014_2023-5./3.3.1.8/0680-00/2200400/BESTUUR/CBS/IE6/U;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;2200400;Onbebouwde terreinen - parken & tuinen - gemeenschapsgoederen;IE6;Onbebouwde terreinen - parken & tuinen - gemeenschapsgoederen;82187.92;29388.6;6069.8;;;;;;;;;117646.31999999999;;;;;;;;
BP2014_2023-5./3.3.1.9/0119-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.9;Herinrichten van de bovenparking van de Borre;0119-00;2200900;Onbebouwde terreinen - andere terreinen - gemeenschapsgoederen - parkings;IE6;;;;;;;225000;;;;;;225000;;nog update van Jan te ontvangen;;;;;;
BP2014_2023-5./3.3.1.9/0200-00/2140007/BESTUUR/CBS/IE6/U;3.3.1.9;Herinrichten van de bovenparking van de Borre;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE6;Overdracht krediet van 2015 naar 2016;;;;;10000;10000;;;;;;20000;;;;;;;;
BP2014_2023-5./3.3.2.5/0340-00/6640000/BESTUUR/CBS/IE6/U;3.3.2.5;Verwerven van gronden in het kader van natuurbehoud;0340-00;6640000;Toegestane investeringssubsidies;IE6;Aankoop bosgronden en milieureservaten;;;;;2258.12;5000;5000;;5000;;;17258.12;;;;;;;;
BP2014_2023-5./3.3.2.7/0329-00/2300000/BESTUUR/CBS/IE6/U;3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0329-00;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;Installaties, machines en uitrusting - gemeenschapsgoederen;;;3928.75;;;;;;;;;3928.75;;;;;;;;
BP2014_2023-5./3.3.3.1/0750-00/2400000/BESTUUR/CBS/IE6/U;3.3.3.1;Aanleggen en onderhouden van gemeentelijke speelterreinen;0750-00;2400000;Meubilair - gemeenschapsgoederen;IE6;aanleg  speelpleinen;;;;;0;;6000;;0;;;6000;;;;;;;;
BP2014_2023-5./3.3.3.2/0750-00/2400000/BESTUUR/CBS/IE6/U;3.3.3.2;Aankopen van speeltoestellen;0750-00;2400000;Meubilair - gemeenschapsgoederen;IE6;aankoop van speeltoestellen (inrichting speelpleinen);2928.2;7980.85;;14723.09;3702.6;22000;23000;50000;6000;12000;;142334.74;;;;;;;;
