Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2016;2017;;;2018;2019;2020;2021;2022;2023;
BP2014_2023-5./GBB-CBS/0040-00/1720000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;1720000;Leasingschulden en soortgelijke schulden in het kader van PPS-overeenkomsten;IE-GEEN;Leasingschulden en soortgelijke schulden in het kader van PPS-overeenkomsten;366346.53;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0040-00/1733000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;1733000;Schulden aan kredietinstellingen ten laste van het bestuur;IE-GEEN;Schulden aan kredietinstellingen ten laste van het bestuur;1025000;;;;0;2600000;2200000;1000000;;;
BP2014_2023-5./GBB-CBS/0040-00/4220000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;4220000;Leasingschulden en soortgelijke schulden in het kader van PPS-overeenkomsten;IE-GEEN;Leasingschulden en soortgelijke schulden in het kader van PPS-overeenkomsten;13013.46;32364.44;;;33331;34327;35352;36408;37496;38616;
BP2014_2023-5./GBB-CBS/0040-00/4233000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;4233000;Schulden aan kredietinstellingen aangegaan door het bestuur;IE-GEEN;Aflossing van leningen;1051704.72;1045176.83;;;950000;1159120.76;1226155.44;1019109.19;998316.58;958000;
BP2014_2023-5./GBB-CBS/0040-00/4240000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;4240000;Overige leningen;IE-GEEN;Overige leningen;189457.78;189112.51;;;190591.55;190871.74;191160.98;181961.09;181301.61;181300;
BP2014_2023-5./GBB-CBS/0701-00/1780001/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0701-00;1780001;Lopende waarborgen zaalverhuur vanaf 2016;IE-GEEN;Lopende waarborgen zaalverhuur vanaf 2016;0;;;;;;;;;;
BP2014_2023-5./GBB-CBS/0740-00/4943000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;4943000;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;IE-GEEN;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;18282.439999999999;18282.439999999999;;;18282.439999999999;18282.439999999999;18282.439999999999;5887.7599999999984;2239.4699999999998;2239.4699999999998;
BP2014_2023-5./GBB-CBS/0500-00/4943000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0500-00;4943000;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;IE-GEEN;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;;;;;;;120000;8000;8000;8000;renteloze lening Ruisbroekmolen
BP2014_2023-5./GBB-CBS/0500-00/2903000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0500-00;2903000;Vorderingen wegens toegestane leningen - nominale waarde;IE-GEEN;Renteloze lening Ruisbroekmolen;;;;;;200000;;;;;
;;;;;;;;0.5;;;;;;;;;;
;;;;;;;;1.5;;;;;;;;;;
;;;;;;;;150;;;;;;;;;;;;;;;;
;;;;;;;;92961.39;;;;;;;;;;;;;;;;
;;;;;;;;61973.4;;;;37184.04;;30987.989999999998;;-6196.0500000000029;;;;;;;;
;;;;;;;;30987.989999999998;;;;;;;;;;;;;;;;
;;;;;;;;247893.52;;;;;;;;;;;;;;;;
;;;;;;;;19.999993545617958;;;;;;;;7296.6;;;;;;;;
;;;;;;;;22394.63;;;;;;;;;;;;;;;;
;;;;;;;;2239.4630000000002;;;;8957.8520000000008;;8957.869999999999;;;;;;;;;;
;;;;;;;;36483;;;;;;;;;;;;;;;;
;;;;;;;;3648.3;;;;10944.900000000001;;10944.900000000001;;;;;;;
;;;;;;;120000;;;;;48128.94;;;;;;;;;
;;;;;;;80000;;;;;;;;;;;;;;
