Code;Actie;Actie oms.;Beleidsitem code;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;
BP2014_2021-3/4.3.3.3/0720-01/1500000/BESTUUR/CBS/IE6/O;4.3.3.3;Onderzoeken van de restauratie en renovatie van de pastorie van Opvelp;0720-01;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;studiekosten en restauratie Pastorie Opvelp;;;;;;0;;;;;;;;;;
BP2014_2021-3/5.1.1.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.1.3;Stapsgewijs uitbreiden van het aanbod aan smartboards in de klassen;0800-02;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;0;;;;;;;;;;;;;
BP2014_2021-3/5.1.3.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.3;Voorzien van extra sanitair in de schoolgebouwen;0800-02;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;sanitair school;;;0;;;;;;;;;;;;;
BP2014_2021-3/5.1.3.4/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-02;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Overdracht krediet van 2015 naar 2016;;461902.07;0;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0030-00/2810000/BESTUUR/CBS/IE7/O;GBB-CBS;Gelijkblijvend beleid CBS;0030-00;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE7;;;75;;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0200-00/2202000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;2202000;Wegzate - gemeenschapsgoederen;IE6;Overdracht krediet van 2015 naar 2016;;965;0;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0290-00/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0290-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;;;21969.57;;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0640-00/2810000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0640-00;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE6;;;1026518.36;;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0650-00/2810000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0650-00;2810000;Belang. in intergem. samenwerk. en soortg. ent. - AW;IE6;;;275222.24;;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0720-00/1500000/BESTUUR/CBS/IE6/O;GBB-CBS;Gelijkblijvend beleid CBS;0720-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Overdracht krediet van 2015 naar 2016;;4877.8500000000004;0;;;;;;;;;;;;;
BP2014_2021-3/5.1.3.2/0800-01/150000/BESTUUR/CBS/IE6/O;5.1.3.2;Inrichten van een mogelijke alternatieve locatie voor de kleutervestiging Centrum;0800-01;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;;;;;;283500;;;;;;;;;;;
;;;;;;;;153378.60999999999;2577237.6600000006;1275000;2947168.25;2536028.3619999997;789503;474294.83;720000;;;;;;;;
