Code;Actie;Actie oms.;Beleidsitem code;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;;totaal per project;Verantwoordelijke/dienst;;Opmerkingen Liesbeth;;;;;
BP2014_2021-3/1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2140007;Plannen en studies - Activa in aanbouw;IE1;Plannen en studies - Activa in aanbouw;107507.97;88042.02;121124.76999999999;13000;;;;;;329674.76;;;;;;;;120665.27
BP2014_2021-3/1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;1071849.99;3233972.05;954209.28000000003;172734.28;;;;;;5432765.6000000006;;;;;;;;
BP2014_2021-3/1.2.3.1/0119-00/2240007/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2240007;Wegen - Activa in aanbouw;IE1;Wegen - Activa in aanbouw;;;197800;;;;;;;197800;;;;;;;;
BP2014_2021-3/1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2400000;Meubilair - gemeenschapsgoederen;IE1;Overdracht krediet van 2015 naar 2016;;;273000;4000;;;;;;277000;;;;;;;;
BP2014_2021-3/1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;Uniformiseren van de ICT-infrastructuur en optimaliseren van de digitale communicatie;0119-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE1;aankopen IT materiaal;32043.61;97464.63;179508.71;56100;10000;63000;26000;100000;;564116.94999999995;;;;;;;;
BP2014_2021-3/2.2.2.2/0750-00/6640000/BESTUUR/CBS/IE6/U;2.2.2.2;Voorzien van subsidies voor kinderopvanginitiatieven;0750-00;6640000;Toegestane investeringssubsidies;IE6;Overdracht krediet van 2015 naar 2016;;;0;;;;;;;0;;;;;;;;
BP2014_2021-3/3.1.1.4/0200-00/2140007/BESTUUR/CBS/IE2/U;3.1.1.4;Ondersteunen van de realisatie van â˜Mevrouwkensveldâ™;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE2;Studiekosten andeel wegenis Mevrouwkesveld;;947.81;710.86000000000013;3341.33;;;;;;5000;;;;;;;;
BP2014_2021-3/3.1.1.4/0200-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.4;Ondersteunen van de realisatie van â˜Mevrouwkensveldâ™;0200-00;2240007;Wegen - Activa in aanbouw;IE2;Aandeel wegenis Mevrouwkesveld;;;0;50000;;;;;;50000;;;;;;;;
BP2014_2021-3/3.1.1.5/0610-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.5;Ondersteunen van de realisatie van â˜De Wipâ™;0610-00;2240007;Wegen - Activa in aanbouw;IE2;Woonproject De Wip;;;0;;;;;;;0;;;;;;;;
BP2014_2021-3/3.2.1.1/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;Studiekosten en uitvoering fietsroute Leuven-Tienen;1339.09;21870.81;18797.159999999996;0;;;;;;42007.06;;;;;;;;
BP2014_2021-3/3.2.1.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering fietsroute Leuven-Tienen;;;0;0;;;31534.6;;;31534.6;;;;;;;;
BP2014_2021-3/3.2.1.2/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.2;Aanleg van fietspaden langs de Tiensesteenweg tussen de Kerselaarlaan en de grens met Boutersem;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering fietspad Tiensesteenweg;;;;;1638691;;;;;1638691;;;;;;;;
BP2014_2021-3/3.2.1.3/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;Plannen en studies - Activa in aanbouw;2881.41;17277.36;20039.349999999999;20039.349999999999;20000;;;;;80237.47;;;;;;;;
BP2014_2021-3/3.2.1.3/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering fietspad Pellenberg;;;0;175793.22000000003;175793.22000000003;;;;;351586.44000000006;;;Zie punt 5 GR 10/11/2016;;351586.44510000001;175793.22255000001;2.5499999755993485E-3;
BP2014_2021-3/3.2.1.4/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.4;Aanleg van fietspaden langs de Lovenjoelsestraat tussen de Weterbeekstraat en de Bruulstraat;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering weg en fietspad Lovenjoelsestraat;;;;525866.01;;;;;;525866.01;;;;;;;;
BP2014_2021-3/3.2.1.5/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;Studiekosten diverse fietspaden;10030;22267.67;43718.33;50000;51613.760000000002;50000;50000;;;277629.76;;;;;;;
BP2014_2021-3/3.2.1.5/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;2240007;Wegen - Activa in aanbouw;IE3;uitvoering fietspaden Opvelpse- en Neervelpsestraat;;;;1021576.9500000001;554189.27;357755;900000;;;2833521.22;;;;;;;
BP2014_2021-3/3.2.1.7/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;studiekosten wegenwerken;;;0;55000;;;;;;55000;;;;;;;
BP2014_2021-3/3.2.1.7/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Heraanleg diverse wegen;42284.93;352871.72;220000;388487.3;190000;200000;200000;200000;;1793643.95;;;"Voor Vuilenbosstraat 99.519,09 EUR overgedragen van 2015 naar 2016 , maar in 2016 aangerekend 159.385,69 DUS +60k ; grondafvoer (CBS 24/10/2016) +50k ; dwargoot over weg : 10.433,58";59866.600000000006;120.5;;219885.69
BP2014_2021-3/3.2.1.10/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.10;Inventariseren, opmaken en uitvoeren van een onderhoudsplan voor wegen en paden;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Onderhoud wegen;48985.2;96136.84;151132.59;250000;30000;130000;130000;130000;;966254.63;;;;;;;
BP2014_2021-3/3.2.1.14/0290-00/2250000/BESTUUR/CBS/IE3/U;3.2.1.14;Optimaliseren van de schoolomgevingen;0290-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Overige infrastructuur betreffende de wegen;;;0;30000;;;;;;30000;;;;;;;
BP2014_2021-3/3.2.2.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.2.1;Opmaken en uitvoeren van een actieplan Trage Wegen;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Wegen - Activa in aanbouw;;;;38000;;;;;;38000;;;;;;;
BP2014_2021-3/3.2.2.2/0210-00/2250000/BESTUUR/CBS/IE3/U;3.2.2.2;Promoten van het openbaar vervoer;0210-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Schuilhuisjes;;;7500;5000;5000;5000;5000;5000;;32500;;;;;;;
BP2014_2021-3/3.2.3.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.3.1;Herinrichten van de Panoramalaan;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Heraanleg Panoramalaan;;;0;250000;;;;;;250000;;;;;;;
BP2014_2021-3/3.2.4.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.4.1;Herinrichten van de Pastoriestraat;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Overdracht krediet van 2015 naar 2016;;32776.239999999998;0;47000;;;;;;79776.239999999991;;;;;;;
BP2014_2021-3/3.2.4.3/0200-00/2250000/BESTUUR/CBS/IE3/U;3.2.4.3;Voeren van meetcampagnes;0200-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Snelheidsinformatieborden;;;;3750;;2250;;2250;;8250;;;;;;;
BP2014_2021-3/3.3.1.1/0200-00/2240007/BESTUUR/CBS/IE6/U;3.3.1.1;Uitvoeren van verbeteringswerken in de dorpskern van Lovenjoel;0200-00;2240007;Wegen - Activa in aanbouw;IE6;voetpad Keizerstraat en dorpskern Lovenjoel;;57103.43;55710.23000000001;380000;;;;;;492813.66000000003;;;;;;;
BP2014_2021-3/3.3.1.3/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.3;Opmaken en uitvoeren van RUP Sint-Kamillus;0610-00;2140000;Plannen en studies;IE6;Plannen en studies;;;0;15000;;;;;;15000;;;;;;;
BP2014_2021-3/3.3.1.4/0610-00/2140000/BESTUUR/CBS/IE6/U;3.3.1.4;Opmaken en uitvoeren van RUP voor zonevreemde gebouwen en constructies;0610-00;2140000;Plannen en studies;IE6;Plannen en studies;;;0;30000;;;;;;30000;;;;;;;
